family	block	q	order	profile
F9-X	13	32	3	NO_R1_FACTOR
F9-X	13	32	4	NO_R2_CANON
F9-X	14	1	1	NO_R1_FACTOR
F9-X	14	1	2	NO_R2_CANON
F9-X	14	1	3	NO_R1_NO_R2
F9-X	14	1	4	DEFAULT
F9-X	14	2	1	DEFAULT
F9-X	14	2	2	NO_R1_NO_R2
F9-X	14	2	3	NO_R1_FACTOR
F9-X	14	2	4	NO_R2_CANON
F9-X	14	4	1	NO_R1_NO_R2
F9-X	14	4	2	NO_R1_FACTOR
F9-X	14	4	3	NO_R2_CANON
F9-X	14	4	4	DEFAULT
F9-X	14	8	1	NO_R1_FACTOR
F9-X	14	8	2	NO_R1_NO_R2
F9-X	14	8	3	NO_R2_CANON
F9-X	14	8	4	DEFAULT
F9-X	14	16	1	NO_R2_CANON
F9-X	14	16	2	DEFAULT
F9-X	14	16	3	NO_R1_FACTOR
F9-X	14	16	4	NO_R1_NO_R2
F9-X	14	32	1	NO_R1_FACTOR
F9-X	14	32	2	NO_R1_NO_R2
F9-X	14	32	3	DEFAULT
F9-X	14	32	4	NO_R2_CANON
F9-X	15	1	1	NO_R1_FACTOR
F9-X	15	1	2	DEFAULT
F9-X	15	1	3	NO_R1_NO_R2
F9-X	15	1	4	NO_R2_CANON
F9-X	15	2	1	NO_R1_FACTOR
F9-X	15	2	2	NO_R1_NO_R2
F9-X	15	2	3	NO_R2_CANON
F9-X	15	2	4	DEFAULT
F9-X	15	4	1	NO_R2_CANON
F9-X	15	4	2	DEFAULT
F9-X	15	4	3	NO_R1_FACTOR
F9-X	15	4	4	NO_R1_NO_R2
F9-X	15	8	1	NO_R1_NO_R2
F9-X	15	8	2	NO_R2_CANON
F9-X	15	8	3	NO_R1_FACTOR
F9-X	15	8	4	DEFAULT
F9-X	15	16	1	NO_R2_CANON
F9-X	15	16	2	NO_R1_FACTOR
F9-X	15	16	3	NO_R1_NO_R2
F9-X	15	16	4	DEFAULT
F9-X	15	32	1	NO_R1_NO_R2
F9-X	15	32	2	DEFAULT
F9-X	15	32	3	NO_R1_FACTOR
F9-X	15	32	4	NO_R2_CANON
F9-X	16	1	1	NO_R2_CANON
F9-X	16	1	2	DEFAULT
F9-X	16	1	3	NO_R1_NO_R2
F9-X	16	1	4	NO_R1_FACTOR
F9-X	16	2	1	NO_R1_NO_R2
F9-X	16	2	2	DEFAULT
F9-X	16	2	3	NO_R2_CANON
F9-X	16	2	4	NO_R1_FACTOR
F9-X	16	4	1	NO_R1_NO_R2
F9-X	16	4	2	NO_R2_CANON
F9-X	16	4	3	NO_R1_FACTOR
F9-X	16	4	4	DEFAULT
F9-X	16	8	1	NO_R1_FACTOR
F9-X	16	8	2	NO_R1_NO_R2
F9-X	16	8	3	NO_R2_CANON
F9-X	16	8	4	DEFAULT
F9-X	16	16	1	NO_R1_FACTOR
F9-X	16	16	2	NO_R1_NO_R2
F9-X	16	16	3	DEFAULT
F9-X	16	16	4	NO_R2_CANON
F9-X	16	32	1	DEFAULT
F9-X	16	32	2	NO_R2_CANON
F9-X	16	32	3	NO_R1_NO_R2
F9-X	16	32	4	NO_R1_FACTOR
F9-X	17	1	1	DEFAULT
F9-X	17	1	2	NO_R1_NO_R2
F9-X	17	1	3	NO_R1_FACTOR
F9-X	17	1	4	NO_R2_CANON
F9-X	17	2	1	NO_R1_FACTOR
F9-X	17	2	2	DEFAULT
F9-X	17	2	3	NO_R1_NO_R2
F9-X	17	2	4	NO_R2_CANON
F9-X	17	4	1	DEFAULT
F9-X	17	4	2	NO_R1_NO_R2
F9-X	17	4	3	NO_R2_CANON
F9-X	17	4	4	NO_R1_FACTOR
F9-X	17	8	1	DEFAULT
F9-X	17	8	2	NO_R1_FACTOR
F9-X	17	8	3	NO_R1_NO_R2
F9-X	17	8	4	NO_R2_CANON
F9-X	17	16	1	NO_R1_NO_R2
F9-X	17	16	2	NO_R2_CANON
F9-X	17	16	3	DEFAULT
F9-X	17	16	4	NO_R1_FACTOR
F9-X	17	32	1	NO_R2_CANON
F9-X	17	32	2	DEFAULT
F9-X	17	32	3	NO_R1_NO_R2
F9-X	17	32	4	NO_R1_FACTOR
F9-X	18	1	1	NO_R1_NO_R2
F9-X	18	1	2	NO_R2_CANON
F9-X	18	1	3	NO_R1_FACTOR
F9-X	18	1	4	DEFAULT
F9-X	18	2	1	DEFAULT
F9-X	18	2	2	NO_R1_NO_R2
F9-X	18	2	3	NO_R2_CANON
F9-X	18	2	4	NO_R1_FACTOR
F9-X	18	4	1	NO_R2_CANON
F9-X	18	4	2	DEFAULT
F9-X	18	4	3	NO_R1_NO_R2
F9-X	18	4	4	NO_R1_FACTOR
F9-X	18	8	1	DEFAULT
F9-X	18	8	2	NO_R1_FACTOR
F9-X	18	8	3	NO_R1_NO_R2
F9-X	18	8	4	NO_R2_CANON
F9-X	18	16	1	NO_R1_FACTOR
F9-X	18	16	2	NO_R2_CANON
F9-X	18	16	3	DEFAULT
F9-X	18	16	4	NO_R1_NO_R2
F9-X	18	32	1	NO_R1_NO_R2
F9-X	18	32	2	DEFAULT
F9-X	18	32	3	NO_R1_FACTOR
F9-X	18	32	4	NO_R2_CANON
F9-X	19	1	1	DEFAULT
F9-X	19	1	2	NO_R2_CANON
F9-X	19	1	3	NO_R1_NO_R2
F9-X	19	1	4	NO_R1_FACTOR
F9-X	19	2	1	NO_R1_NO_R2
F9-X	19	2	2	NO_R1_FACTOR
F9-X	19	2	3	NO_R2_CANON
F9-X	19	2	4	DEFAULT
F9-X	19	4	1	NO_R1_NO_R2
F9-X	19	4	2	NO_R2_CANON
F9-X	19	4	3	NO_R1_FACTOR
F9-X	19	4	4	DEFAULT
F9-X	19	8	1	NO_R1_FACTOR
F9-X	19	8	2	DEFAULT
F9-X	19	8	3	NO_R2_CANON
F9-X	19	8	4	NO_R1_NO_R2
F9-X	19	16	1	NO_R1_FACTOR
F9-X	19	16	2	NO_R2_CANON
F9-X	19	16	3	DEFAULT
F9-X	19	16	4	NO_R1_NO_R2
F9-X	19	32	1	DEFAULT
F9-X	19	32	2	NO_R2_CANON
F9-X	19	32	3	NO_R1_FACTOR
F9-X	19	32	4	NO_R1_NO_R2
F9-X	20	1	1	DEFAULT
F9-X	20	1	2	NO_R2_CANON
F9-X	20	1	3	NO_R1_FACTOR
F9-X	20	1	4	NO_R1_NO_R2
F9-X	20	2	1	NO_R1_NO_R2
F9-X	20	2	2	NO_R1_FACTOR
F9-X	20	2	3	NO_R2_CANON
F9-X	20	2	4	DEFAULT
F9-X	20	4	1	NO_R1_FACTOR
F9-X	20	4	2	NO_R2_CANON
F9-X	20	4	3	NO_R1_NO_R2
F9-X	20	4	4	DEFAULT
F9-X	20	8	1	NO_R1_NO_R2
F9-X	20	8	2	NO_R1_FACTOR
F9-X	20	8	3	NO_R2_CANON
F9-X	20	8	4	DEFAULT
F9-X	20	16	1	DEFAULT
F9-X	20	16	2	NO_R2_CANON
F9-X	20	16	3	NO_R1_FACTOR
F9-X	20	16	4	NO_R1_NO_R2
F9-X	20	32	1	NO_R2_CANON
F9-X	20	32	2	NO_R1_FACTOR
F9-X	20	32	3	NO_R1_NO_R2
F9-X	20	32	4	DEFAULT
